Module                  Size  Used by
ccm                    20480  6
rfcomm                102400  4
snd_seq_dummy          12288  0
snd_hrtimer            12288  1
nvidia_uvm           2158592  0
qrtr                   53248  2
cmac                   12288  3
algif_hash             12288  1
algif_skcipher         12288  1
af_alg                 32768  6 algif_hash,algif_skcipher
bnep                   32768  2
intel_rapl_msr         20480  0
binfmt_misc            24576  1
intel_rapl_common      40960  1 intel_rapl_msr
uvcvideo              147456  0
videobuf2_vmalloc      20480  1 uvcvideo
uvc                    12288  1 uvcvideo
btusb                  81920  0
videobuf2_memops       16384  1 videobuf2_vmalloc
videobuf2_v4l2         36864  1 uvcvideo
btrtl                  32768  1 btusb
btintel                57344  1 btusb
videodev              352256  2 videobuf2_v4l2,uvcvideo
btbcm                  24576  1 btusb
snd_sof_amd_acp63      16384  0
amdgpu              17166336  13
btmtk                  12288  1 btusb
snd_sof_amd_vangogh    16384  0
videobuf2_common       81920  4 videobuf2_vmalloc,videobuf2_v4l2,uvcvideo,videobuf2_memops
bluetooth            1036288  34 btrtl,btmtk,btintel,btbcm,bnep,btusb,rfcomm
snd_sof_amd_rembrandt    16384  0
snd_hda_codec_realtek   208896  1
usbhid                 77824  0
mc                     81920  4 videodev,videobuf2_v4l2,uvcvideo,videobuf2_common
snd_sof_amd_renoir     16384  0
snd_hda_codec_generic   122880  1 snd_hda_codec_realtek
edac_mce_amd           28672  0
snd_sof_amd_acp        53248  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
snd_sof_pci            24576  4 snd_sof_amd_rembrandt,snd_sof_amd_vangogh,snd_sof_amd_acp63,snd_sof_amd_renoir
ecdh_generic           16384  2 bluetooth
snd_sof_xtensa_dsp     12288  1 snd_sof_amd_acp
snd_hda_codec_hdmi     94208  2
snd_sof               380928  2 snd_sof_amd_acp,snd_sof_pci
kvm_amd               208896  0
snd_hda_intel          61440  3
snd_sof_utils          16384  1 snd_sof
rtw89_8852be           12288  0
kvm                  1404928  1 kvm_amd
rtw89_8852b           413696  1 rtw89_8852be
snd_intel_dspcfg       36864  2 snd_hda_intel,snd_sof
snd_intel_sdw_acpi     16384  1 snd_intel_dspcfg
snd_soc_core          442368  1 snd_sof
rtw89_pci              81920  1 rtw89_8852be
snd_hda_codec         204800  4 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec_realtek
snd_compress           28672  1 snd_soc_core
nvidia_drm            139264  4
irqbypass              12288  1 kvm
ac97_bus               12288  1 snd_soc_core
snd_hda_core          139264  5 snd_hda_codec_generic,snd_hda_codec_hdmi,snd_hda_intel,snd_hda_codec,snd_hda_codec_realtek
crct10dif_pclmul       12288  1
snd_pcm_dmaengine      16384  1 snd_soc_core
polyval_clmulni        12288  0
rtw89_core            737280  2 rtw89_8852b,rtw89_pci
amdxcp                 12288  1 amdgpu
polyval_generic        12288  1 polyval_clmulni
snd_hwdep              20480  1 snd_hda_codec
drm_exec               12288  1 amdgpu
snd_pci_ps             24576  0
ghash_clmulni_intel    16384  0
snd_rpl_pci_acp6x      16384  0
gpu_sched              61440  1 amdgpu
sha256_ssse3           32768  0
snd_acp_pci            12288  0
snd_seq_midi           24576  0
drm_buddy              20480  1 amdgpu
sha1_ssse3             32768  0
nvidia_modeset       1822720  3 nvidia_drm
drm_suballoc_helper    16384  1 amdgpu
snd_seq_midi_event     16384  1 snd_seq_midi
snd_acp_legacy_common    16384  1 snd_acp_pci
aesni_intel           356352  8
drm_ttm_helper         12288  1 amdgpu
nls_iso8859_1          12288  1
mac80211             1744896  2 rtw89_core,rtw89_pci
snd_rawmidi            57344  1 snd_seq_midi
snd_pci_acp6x          16384  0
ttm                   110592  2 amdgpu,drm_ttm_helper
crypto_simd            16384  1 aesni_intel
cryptd                 24576  3 crypto_simd,ghash_clmulni_intel
nvidia              14409728  46 nvidia_uvm,nvidia_modeset
snd_pcm               192512  12 snd_sof_amd_acp,snd_hda_codec_hdmi,snd_pci_acp6x,snd_hda_intel,snd_hda_codec,snd_sof,snd_compress,snd_soc_core,snd_sof_utils,snd_hda_core,snd_pci_ps,snd_pcm_dmaengine
drm_display_helper    237568  1 amdgpu
snd_seq               118784  9 snd_seq_midi,snd_seq_midi_event,snd_seq_dummy
cec                    94208  1 drm_display_helper
